Zone,District,Upazilla,Union,THACODE,Mouza,Village,Weight
West,Khulna,Batiaghata,  Bhanderkote Union Total,404712,*Jhinaikhali,Jhinaikhali,0.005219564
West,Khulna,Batiaghata,  Bhanderkote Union Total,404712,*Kismat Jhinaikhali,Kismat Jhinaikhali,0.005663872
West,Khulna,Batiaghata,  Bhanderkote Union Total,404712,*Kismat Lakshmikhola,Kismat Lakshmikhola,0.005519983
West,Khulna,Batiaghata,  Bhanderkote Union Total,404712,*Kultia,Kultia,0.005255452
West,Khulna,Batiaghata,  Bhanderkote Union Total,404712,*Lakshmikhola,Lakshmikhola,0.00743607
West,Khulna,Batiaghata,  Bhanderkote Union Total,404712,*Naoailtala,Naoailtala,0.004810644
West,Khulna,Batiaghata,  Bhanderkote Union Total,404712,*Naoailtala,Hajirabad,0.005367361
West,Khulna,Batiaghata,  Bhanderkote Union Total,404712,*Par Hogla,Par Hogla,0.005821636
West,Khulna,Batiaghata,  Bhanderkote Union Total,404712,*Sialidanga,Sialidanga,0.004990041
West,Khulna,Batiaghata,  Bhanderkote Union Total,404712,*Sreefaltala,Sreefaltala,0.005852951
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Andharia,Andharia,0.005910762
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Bajeafti Debitala,Bajeafti Debitala,0.006706645
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Barun Para,Barun Para,0.004879725
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Barun Para,Mathbanga,0.006093269
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Barun Para,Masiar Danga,0.005493986
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Boyarbhanga,Boyarbhanga,0.004939321
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Britti Khalsebunia,Britti Khalsebunia,0.005112976
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Charkhali Machalia,Charkhali Machaila,0.005326916
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Charkhali Machalia,Tengramari,0.005449158
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Charkhali Machalia,Jharbhanga,0.006151162
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Debitala,Debitala,0.005018799
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Gagramari,Gagramari,0.005134068
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Gangarampur,Gangarampur,0.005418934
